kepid,koi_disposition,kepler_name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
10030778,FALSE POSITIVE,,0.0,0.0,0.78213114,0.0,1.1200721,0.0,0.0,0.0,1.0624442,0.88701165,1.4382783,0.0,1.1747546,0.70886296,1.1152956,0.0,1.43284,0.0,0.0,0.61643237,1.529067,0.0,0.0,0.5803684,0.0,0.8502756,1.4390059,2.4383035,1.3398962,0.0,0.0,1.4021997
7870282,FALSE POSITIVE,,0.0,0.0032810569,0.49341938,0.0,0.0,0.0,0.0,0.0,0.32817638,0.2347471,0.29070538,0.0,0.5425136,0.5464704,0.26019093,0.0,0.55801564,0.0,0.06348437,0.65456176,0.3777553,0.0,0.0,0.38643396,0.0,0.13140559,0.35672176,0.16703627,0.14960174,0.0,0.03205067,0.34376478
9021075,CONFIRMED,Kepler-1968 b,0.0,0.0,0.9673539,0.0,1.1052661,0.0,0.0,0.0,1.2019008,1.5705187,1.0962213,0.0,1.0195246,0.6422951,0.9409514,0.0,0.26781446,0.0,0.0,1.0482558,0.5509,0.0,0.0,1.1373057,0.0,1.1656061,0.9020621,1.2836484,1.0100704,0.0,0.0,1.2031109
11338056,CANDIDATE,,0.0,0.0,0.843453,0.0,0.8360695,0.0,0.0,0.0,1.1288164,1.1524755,1.0965065,0.0,1.0437787,0.8653668,1.0939544,0.0,0.6291686,0.0,0.0,1.2355634,0.63366127,0.0,0.0,0.78203636,0.0,0.95086163,0.9502738,1.3880177,0.9754886,0.0,0.0,1.0517578
3445812,FALSE POSITIVE,,0.0,0.0,1.3420229,0.0,0.71783113,0.0,0.0,0.0,1.261908,1.132226,0.96425486,0.0,1.1620109,1.7058161,0.47889626,0.0,1.7632701,0.0,0.0,1.1344738,1.3481715,0.0,0.0,1.3995157,0.0,1.3867222,0.823713,0.19497228,1.302587,0.0,0.0,1.2810903
4473613,CONFIRMED,Kepler-1623 b,0.0,0.0,0.570924,0.0,0.05356934,0.0,0.0,0.0,0.23495398,0.058114603,0.5843488,0.0,0.57445776,0.056825526,0.5461721,0.0,0.4632179,0.0,0.0,0.35702115,0.44621107,0.0,0.0,0.49039096,0.0,0.084690385,0.7030733,0.5784714,0.36070013,0.0,0.0,0.4391284
10676750,CANDIDATE,,0.0,0.0,1.6629772,0.0,0.60620135,0.0,0.0,0.0,1.4283482,1.3609446,1.1204095,0.0,1.3567973,1.4106869,1.5580812,0.0,0.4391677,0.0,0.0,1.0553428,0.5062674,0.0,0.0,0.7508697,0.0,1.4555733,1.601906,2.0234945,1.5733864,0.0,0.0,1.9000369
8960918,FALSE POSITIVE,,0.0,0.0,0.55755544,0.0,0.3591343,0.0,0.0,0.0,0.32027805,0.42007327,0.49371535,0.0,0.39626464,0.08972722,0.3658229,0.0,0.37876078,0.0,0.0,0.41679078,0.5100474,0.0,0.0,0.67124194,0.0,0.39604545,0.39016557,0.2877779,0.49529204,0.0,0.0,0.25579134
4647662,FALSE POSITIVE,,0.0,0.0,0.70604277,0.0,0.6137209,0.0,0.0,0.0,0.9034911,0.801655,0.72310966,0.0,0.51175654,0.34394535,1.0142255,0.0,0.50713456,0.0,0.0,0.82297003,1.0315012,0.0,0.0,0.9769989,0.0,0.3714257,1.0318358,1.0569309,0.9388525,0.0,0.0,0.52732587
9581589,CANDIDATE,,0.0,0.0,0.7320242,0.0,0.33912057,0.0,0.0,0.0,0.7337508,0.447406,0.72180176,0.0,0.6580388,0.36603445,0.6007154,0.0,0.57334745,0.0,0.0,0.55758566,0.5358124,0.0,0.0,0.680122,0.0,0.4479087,0.7388665,0.6796509,0.823966,0.0,0.0,0.43835336
