id_distrito,price_per_m2
1,3686.9549947710825
2,1230.8336867213716
3,1463.9195032904665
4,2091.1153850696232
5,1009.0272270197889
6,670.7988415323687
7,1094.0758576327835
8,1553.231268072199
9,1068.5623845221062
10,1617.9369979640605
12,1340.3541531130468
13,770.3027107531286
14,1112.1268308721938
15,645.2885017304749
16,174.85846310436102
17,361.6842105263158
19,1412.0746268656717
25,398.85793034757523
26,1046.8543595607332
28,145.67834777464435
29,622.0588235294117
30,6.422351233671988
34,11.2
36,322.26938818267644
37,547.2510562770563
38,688.8596731911579
40,184.12171397760682
41,24.966666666666665
42,1093.9626305874954
47,633.3339391980932
49,1528.9256198347107
50,11.0
53,863.6363636363636
54,1077.8134413042224
55,1000.2629988474332
56,699.6895343055937
58,1230.4027777777778
60,593.6888888888889
61,1202.1669952395794
62,1820.3079075254116
63,2539.2172704925715
64,828.4420865532378
65,996.2098741470454
66,896.7221000625568
67,1074.9415015899888
70,1106.0754949292068
71,155.8324945513124
74,230.0
75,1235.8821733821733
77,937.3284780855944
78,865.6751103881013
79,1114.987983891399
81,704.8716613356273
82,150.18523795953263
83,7.43801652892562
84,771.6421632863088
85,4861.422600591356
86,6878.037259902815
87,1127.8402366863904
88,371.74721189591077
89,846.5657552918723
90,64.44774336283186
91,34.945861613596456
93,47.44293561454964
94,
96,72.23512583002366
97,1314.283158893439
98,1114.4444486570053
99,1145.9180655727719
101,5189.641755760892
102,57.32319233208136
103,283.61914203103225
104,19880.47745102177
105,31.805555555555557
106,2.4623588456712673
107,5864.416830615098
108,2489.9607351460077
109,222.30003261051505
110,8.054155405716989
111,95.22349459984162
113,855.434045848123
114,3391.4426449030902
115,167.78229591836734
116,588.766956198314
117,684.9809091355587
118,308.94871002385963
120,1071.6748580290357
121,431.5882447406456
122,497.4927520933648
123,271.15709243991597
124,1086.138368463722
125,409.83580215245155
127,513.0291346860555
128,240.47966207088794
130,627.7593347103224
132,617.2095572450212
133,464.7361611095065
134,224.727428706172
135,24.640855210363405
138,30.044889703742502
139,41.887791664029734
140,4.521141229967652
141,448.5723129946663
142,102.3794068935636
144,1036.9190177190674
145,539.4465191833361
146,540.4914396169091
147,301.7853415660768
148,227.32840945410567
149,91.05841208082603
151,76.96647030905386
152,401.58577020331074
153,173.70387425554122
154,143.2225063938619
159,68.5606925177314
160,488.3123561649594
161,174.3075038738546
163,948.780487804878
165,114.37908496732027
166,805.5953053788526
168,335.0674997728851
170,2299.5554881369294
178,576.5472312703583
180,81.03035370503514
183,129.86829783280248
184,52.666500488222034
185,284.81352520646755
186,527.9552324369398
188,120.75718015665797
189,46.53753574687248
191,367.8598048079885
192,153.20954161630493
193,99.72797994269341
194,36.26865671641791
195,53845.029862630734
197,3.4014598540145986
205,1.4208782104391051
206,14.865468198825322
208,47.32874562005485
210,3.629032258064516
214,23.39506150275299
219,1.6705974008752156
221,164.68270515237396
224,812.6076872031243
225,878.1055035650625
227,514.4256434474617
228,3014.611590760644
229,4110.388888888889
230,454.54545454545456
232,662.0561979205053
234,763.170420953734
235,287.83958602846053
237,26543.26973814783
238,271.47005287360935
239,714.2857142857143
241,13331.774289749084
242,1299.7578078062845
243,899.2238359287155
244,826.9591640385622
245,890.0613844631923
249,24447.316033946845
252,240.2447160524758
255,258.2070407528262
260,138.75608500384487
261,1.6545366327025717
264,54.23076923076923
267,505.4567880390206
272,780.3327442169281
276,955.1077913844751
277,604.9220959368146
278,1111.4973246303223
279,1442.771038757216
281,627.9427203644645
283,1039.9500123850132
284,604.7067061779295
285,658.4623476094914
286,256.548325546904
287,895.3717076495693
288,1065.0723654454996
289,748.8646931685048
291,870.6300343641882
292,667.2729025864336
294,442.9913323991589
295,496.93056038399754
297,544.5111333213088
298,66.23536660505238
299,42.757936507936506
300,418.4722732280573
301,439.2644204449311
302,1106.5898073733895
303,1156.9500509294626
304,158.490255591447
305,302.57907606942695
306,198.67614667691868
308,277.9669368411728
310,1544.1238041871975
311,690.4217334303984
312,827.2723117423293
313,809.0872360281581
314,406.3009708737864
315,960.6100430283051
316,733.8285065016959
317,1164.995204074022
318,622.8643148104364
319,25.833333333333332
320,3499.794328691296
323,368.2660316604348
324,21.58351075151925
326,389.34047240582976
327,43.503343489699446
328,585.8484831163192
329,1.614026939154668
330,4.124177768873752
331,3.9102880276242793
332,7052.35387901687
333,1157.8012321332062
334,19.341367668683638
335,16.523933051419636
337,549.6264357178351
338,37234.90284360594
339,8.531317494600431
340,148.53944389137877
342,1488.7338117862048
343,999.2513296106744
344,60.39727997170213
346,17.28405572755418
347,147.92390358491278
348,7815.33029464007
349,346.25154428599654
350,1030.0857070634106
351,66.5646518745218
352,17.453488372093023
357,0.6019920318725099
358,5.666003976143141
360,0.5684499993470132
361,203.20747484225942
362,0.932062966031483
363,75.0808485388712
366,79.93255497580299
367,109.82185229818695
368,7.108778625954199
