0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1.3410918,1.4594674,0.0,1.2321378,0.0,1.140758,1.4593141,1.3914874,0.0,0.0,0.0,1.4795693,0.0,0.0,0.0,1.6262571,0.0,1.2013576,1.4517463,0.0,0.0,1.407596,1.3155111,0.0,1.7457553,0.0,0.0,0.0,0.0,1.6258388,1.3635268,0.0
1.4432217,1.6021405,0.0,1.4093472,0.0,1.0862254,1.3185905,1.3290862,0.0,0.0,0.0,1.4505054,0.0,0.0,0.0,1.6041542,0.0,1.39394,1.40778,0.0,0.0,1.3488483,1.3673984,0.0,1.5071279,0.0,0.0,0.0,0.0,1.4607087,1.3251587,0.0
0.0,0.0,0.949013,0.0,0.96651506,0.0,0.0,0.0,0.9135687,0.7023171,0.9840549,0.0,0.8077859,0.8261747,1.0223771,0.0,1.1813617,0.0,0.0,1.0631925,0.93176824,0.0,0.0,0.77923095,0.0,0.8255982,0.7965991,1.1064072,0.8787793,0.0,0.0,0.4881292
0.0,0.0,0.6141579,0.0,0.33296365,0.0,0.0,0.0,0.71674407,0.7212287,0.4172948,0.0,0.6156601,0.8257432,0.37808758,0.0,0.70620686,0.0,0.0,0.6891721,0.5230697,0.0,0.0,0.6834145,0.0,0.44698995,0.36950445,0.42249107,0.68453705,0.0,0.0,0.40742922
1.4579775,1.6115634,0.0,1.6271178,0.0,1.2796073,1.6439219,1.4348387,0.0,0.0,0.0,1.6325955,0.0,0.0,0.0,1.7952778,0.0,1.6594995,1.566688,0.0,0.0,1.5383507,1.5170304,0.0,1.842043,0.0,0.0,0.0,0.0,1.5620431,1.6130978,0.0
0.17052412,0.65424,0.0,0.46383005,0.0,0.64876467,0.49379438,0.48480558,0.0,0.0,0.0,0.4070866,0.0,0.0,0.0,0.5473632,0.0,0.3469446,0.35185733,0.0,0.0,0.27351433,0.6785239,0.0,0.5362649,0.0,0.0,0.0,0.0,0.8808964,0.23460813,0.0
0.32034963,0.6360083,0.0,0.50387055,0.0,0.47838113,0.5538245,0.44567814,0.0,0.0,0.0,0.56454504,0.0,0.0,0.0,0.58751297,0.0,0.51622266,0.6460017,0.0,0.0,0.48918572,0.6983466,0.0,0.7377197,0.0,0.0,0.0,0.0,0.7625404,0.40073076,0.0
1.0961562,1.339385,0.0,1.0914121,0.0,1.0827663,1.2645515,1.0785275,0.0,0.0,0.0,1.1458695,0.0,0.0,0.0,1.4797884,0.0,1.1054013,1.2216289,0.0,0.0,0.97140014,1.0672877,0.0,1.293095,0.0,0.0,0.0,0.0,1.3479376,1.1735168,0.0
0.0,0.0,0.46733373,0.0,0.14073564,0.0,0.0,0.0,0.3110324,0.29616085,0.6622758,0.0,0.33371744,0.47907838,0.6467749,0.00257501,0.66432834,0.0,0.0,0.5848175,0.6469359,0.0,0.0,0.6557543,0.0,0.5484572,0.45993268,0.6849864,0.39768484,0.0,0.0,0.042623118
0.0,0.07808849,0.1780498,0.22636399,0.0,0.0,0.10580238,0.28509435,0.0,0.0,0.0,0.12569545,0.04203197,0.04455711,0.2528724,0.29550856,0.0,0.14481059,0.14247045,0.13733907,0.37586355,0.0,0.19733842,0.08757734,0.23695299,0.0,0.23003267,0.20243926,0.0,0.19356063,0.0,0.030258812
